epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.5711441040039062,0.5964952707290649,9.999999747378752e-05,0.7323983907699585,0.61121666431427,0.666042685508728,0.7027726769447327
1,0.6898559331893921,0.7601845860481262,9.999999747378752e-05,0.6415958404541016,0.7239203453063965,0.8203303217887878,0.6074554324150085
2,0.7811091542243958,0.8626587390899658,9.999999747378752e-05,0.5533004403114319,0.7936369180679321,0.879462718963623,0.5364825129508972
3,0.8335176110267639,0.9125906825065613,9.999999747378752e-05,0.4920909106731415,0.8069953918457031,0.8926447033882141,0.5148303508758545
4,0.8677021861076355,0.9392971992492676,9.999999747378752e-05,0.4510372281074524,0.8425097465515137,0.9334065914154053,0.473913311958313
5,0.8897077441215515,0.9549176692962646,9.999999747378752e-05,0.42207837104797363,0.8499450087547302,0.9432222843170166,0.46321654319763184
6,0.9058695435523987,0.9657087326049805,9.999999747378752e-05,0.3995083272457123,0.8852469325065613,0.9549692273139954,0.4171924591064453
7,0.9179368615150452,0.9721747040748596,9.999999747378752e-05,0.38353294134140015,0.8517319560050964,0.9604300260543823,0.45982253551483154
8,0.9268068671226501,0.9772199988365173,9.999999747378752e-05,0.3700624108314514,0.8987428545951843,0.9655382037162781,0.3979208767414093
9,0.9327623248100281,0.9807256460189819,9.999999747378752e-05,0.36006268858909607,0.8918699622154236,0.9726072549819946,0.40471088886260986
10,0.9394288063049316,0.9833300709724426,9.999999747378752e-05,0.35148122906684875,0.9131135940551758,0.9751073718070984,0.3761787414550781
11,0.9443755745887756,0.9856627583503723,9.999999747378752e-05,0.34371623396873474,0.8949190378189087,0.977972149848938,0.4024675786495209
12,0.9475170969963074,0.9872035980224609,9.999999747378752e-05,0.33809807896614075,0.9227481484413147,0.9773693680763245,0.3615349233150482
13,0.9513435363769531,0.9883525371551514,9.999999747378752e-05,0.3328704833984375,0.9277966618537903,0.9802255630493164,0.35446399450302124
14,0.9541053771972656,0.9896175861358643,9.999999747378752e-05,0.3279382288455963,0.924797534942627,0.9819265007972717,0.3595520555973053
15,0.9564875960350037,0.9904825091362,9.999999747378752e-05,0.32389330863952637,0.9313331246376038,0.9822229743003845,0.3477706015110016
16,0.959949254989624,0.9914327263832092,9.999999747378752e-05,0.3192874789237976,0.853019118309021,0.9814534783363342,0.45198583602905273
17,0.9609765410423279,0.9919835329055786,9.999999747378752e-05,0.31654128432273865,0.9287089109420776,0.9855148792266846,0.3512953519821167
18,0.9634034037590027,0.9928444027900696,9.999999747378752e-05,0.312591016292572,0.9348320364952087,0.9841303825378418,0.34136760234832764
19,0.965186357498169,0.9933133721351624,9.999999747378752e-05,0.30990442633628845,0.9385684132575989,0.9847587943077087,0.3353528380393982
20,0.9663216471672058,0.9937484264373779,9.999999747378752e-05,0.30727434158325195,0.9380061030387878,0.9867323040962219,0.3383397161960602
21,0.9673749804496765,0.9942154288291931,9.999999747378752e-05,0.30454808473587036,0.9434919357299805,0.9870255589485168,0.32765597105026245
22,0.9687894582748413,0.9944886565208435,9.999999747378752e-05,0.3025446832180023,0.9303708672523499,0.9884873628616333,0.3484421670436859
23,0.9699060916900635,0.9947504997253418,9.999999747378752e-05,0.30057480931282043,0.9411301612854004,0.9879202842712402,0.3302184045314789
24,0.9710376262664795,0.9951184391975403,9.999999747378752e-05,0.2983528971672058,0.9219983816146851,0.9875550270080566,0.355413556098938
25,0.9765018224716187,0.9965922236442566,4.999999873689376e-05,0.28950175642967224,0.9537513852119446,0.9906701445579529,0.31061723828315735
26,0.977603554725647,0.9967616200447083,4.999999873689376e-05,0.2874256372451782,0.9537388682365417,0.991012454032898,0.31010112166404724
27,0.9787351489067078,0.9968703389167786,4.999999873689376e-05,0.28560373187065125,0.9547635912895203,0.9911897778511047,0.3080716133117676
28,0.9793604612350464,0.9971172213554382,4.999999873689376e-05,0.28401103615760803,0.9532390236854553,0.9907575845718384,0.3107743263244629
29,0.9801719188690186,0.9973256587982178,4.999999873689376e-05,0.28239181637763977,0.949515163898468,0.9906380772590637,0.31438350677490234
