split,class,count,percentage_within_split
Train,Fake,142910,53.193825630259916
Train,Real,125749,46.80617436974008
Validation,Fake,40035,50.02874137758673
Validation,Real,39989,49.97125862241328
Test,Fake,11149,49.78788014111552
Test,Real,11244,50.21211985888448
