channel,fake_mean,fake_std,real_mean,real_std,mean_difference_fake_minus_real,cohen_d,effect_size_label,test_name,p_value,significance
Red,125.46105222794976,33.49188919389927,126.62058170923973,33.63182683927073,-1.1595294812899652,-0.03455227216751293,Sangat kecil,Mann Whitney U,8.637038185068521e-24,Signifikan pada p < 0.05
Green,103.18521152194853,32.14329109565269,104.5223916494091,32.03351435739672,-1.3371801274605701,-0.041668409531943694,Sangat kecil,Mann Whitney U,4.2145965026859533e-35,Signifikan pada p < 0.05
Blue,92.84704670671252,33.42827410310294,93.94187397794168,33.21153241952804,-1.094827271229164,-0.0328529558866222,Sangat kecil,Mann Whitney U,7.127298698255873e-25,Signifikan pada p < 0.05
