class,n_images,r_mean,r_std,g_mean,g_std,b_mean,b_std
Fake,194094,125.46105222794976,33.49188919389932,103.18521152194853,32.143291095652785,92.84704670671252,33.428274103102794
Real,176982,126.62058170923973,33.6318268392708,104.5223916494091,32.03351435739648,93.94187397794168,33.21153241952826
