class,n_images,brightness_mean,brightness_median,brightness_std,brightness_min,brightness_max,contrast_mean,contrast_median,contrast_std,contrast_min,contrast_max
Fake,194094,108.66713759975961,108.41629028320312,31.501405974744923,1.695378303527832,248.49996948242188,55.38876297453345,55.236297607421875,12.74069102597744,4.529963970184326,116.17876434326172
Real,176982,109.92357195985812,109.4842758178711,31.521995584446298,3.2439019680023193,245.22372436523438,56.379337943351544,56.35652732849121,12.179052452901148,4.657090187072754,118.92402648925781
